location,date,avg,median,high,low,std,obs
PEPCO,2020-05-05,19.880155041666665,20.7075775,24.881265,14.080654,3.676089372906752,24
PEPCO,2020-05-06,22.853501166666664,24.071725999999998,26.299819,17.864949,3.0266249572845947,24
PEPCO,2020-05-07,18.402122625,17.594614,26.292385,14.962263,2.841667892507096,24
PEPCO,2020-05-08,18.139927875,18.3035895,21.754537,15.521554,1.709092353105394,24
PEPCO,2020-05-09,17.663565000000002,16.7550035,21.698279,15.35712,1.9632249388285237,24
PEPCO,2020-05-10,16.25874325,16.2222865,21.871841,13.317838,1.7618666799258356,24
PEPCO,2020-05-11,18.152881875000002,18.415300000000002,21.872575,14.583582,2.2044898750290303,24
PEPCO,2020-05-12,17.86242066666667,17.583413999999998,22.772188,14.787188,2.5116737529406765,24
PEPCO,2020-05-13,17.297197375,16.788291,22.535193,14.222266,2.219575019818822,24
PEPCO,2020-05-14,16.863114083333333,17.150655999999998,20.990637,12.626776,2.757357622114961,24
PEPCO,2020-05-15,20.177160958333335,20.0633925,32.721441,10.049648,7.225744882474419,24
PEPCO,2020-05-16,17.820942416666668,18.432069,24.977318,10.700866,4.98611345485638,24
PEPCO,2020-05-17,13.942161166666667,14.3162715,21.059671,8.823872,3.5448983734454673,24
PEPCO,2020-05-18,15.070489625,16.7560055,17.825558,9.768591,2.928294243829924,24
PEPCO,2020-05-19,15.548491708333332,17.040999,18.233238,10.395848,2.7957009484437765,24
PEPCO,2020-05-20,16.475298833333333,17.478372,20.61232,11.846478,3.2869105924720583,24
PEPCO,2020-05-21,17.362777291666667,18.8218645,21.432339,12.435719,3.282676216188904,24
PEPCO,2020-05-22,18.38315641666667,19.246384,23.707615,13.163782,3.8426857495020763,24
PEPCO,2020-05-23,17.52332175,17.0011725,25.319623,10.419669,5.156998954399345,24
PEPCO,2020-05-24,17.365644875,17.1727885,28.257624,8.852551,6.271975009034688,24
PEPCO,2020-05-25,19.142238333333335,17.452689,34.740214,10.352791,7.286135953861211,24
PEPCO,2020-05-26,20.7762755,20.209424,32.118654,11.820356,6.529323125022927,24
PEPCO,2020-05-27,23.354990333333333,22.479821,39.57714,13.152267,7.826026340800057,24
PEPCO,2020-05-28,26.367707375,24.8269375,51.265188,13.408734,10.42767920348077,24
PEPCO,2020-05-29,25.188436499999998,23.942237,41.712461,14.110578,8.578691192295295,24
PEPCO,2020-05-30,17.741437833333332,19.4276445,23.13449,11.870464,3.597529512231253,24
PEPCO,2020-05-31,14.721622166666668,14.864954000000001,19.417725,9.499332,3.0101573639804187,24
PEPCO,2020-06-01,16.021889166666668,16.7769385,20.611224,11.178167,3.1040999631374455,24
PEPCO,2020-06-02,18.766291499999998,17.376325,35.300525,9.21789,7.634809087951305,24
PEPCO,2020-06-03,22.93647329166667,21.701606,45.383193,10.374374,10.565960895342185,24
PEPCO,2020-06-04,25.142318208333332,23.3745605,44.303577,13.314312,9.680741228743162,24
